Replicate Name,Protein Name,Precursor Ion Name,Precursor Mz,Product Mz,Retention Time,Area,Background,Start Time,End Time,Height
180212_Smp_L1C33DCMplus20m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.23,394,23,5.19,5.26,351
180212_Smp_L1C33DCMplus20m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.17,646,6,5.12,5.22,352
180212_Smp_L1C33DCMplus20m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.25,336,0,5.18,5.29,365
180212_Smp_L2C1DCMless10m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.2,1497,22,5.1,5.24,677
180212_Smp_L2C1DCMless10m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.17,3026,3,5.12,5.28,1081
180212_Smp_L2C1DCMless10m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.23,929,0,5.21,5.32,504
180212_Smp_L2C1DCMless20m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.26,217,41,5.17,5.38,48
180212_Smp_L2C1DCMless20m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.17,571,0,5.11,5.25,326
180212_Smp_L2C1DCMless20m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.18,140,0,5.11,5.24,74
180212_Smp_L2C2DCM_A,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.26,422,9,5.17,5.31,181
180212_Smp_L2C2DCM_B,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.24,18,0,5.18,5.25,15
180212_Smp_L2C2DCM_C,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.24,101,0,5.21,5.25,106
180212_Smp_L2C2DCMplus10m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.15,140,63,5.07,5.27,111
180212_Smp_L2C2DCMplus10m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.24,733,1,5.2,5.3,306
180212_Smp_L2C2DCMplus10m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.11,374,30,5.09,5.27,148
180212_Smp_L2C2DCMplus20m_A,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.21,37,12,5.19,5.24,22
180212_Smp_L2C2DCMplus20m_B,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.23,331,0,5.12,5.26,148
180212_Smp_L2C2DCMplus20m_C,Co-enzyme A,Acetoacetyl CoA,850.3228,766.3569,5.19,548,5,5.13,5.27,167
180212_Std_4uMhilicMix4_1,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.22,2079048,21586,5.14,5.33,681630
180212_Std_4uMhilicMix4_2,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.24,2728782,10528,5.16,5.35,798255
180212_Blk_MQBlk_1,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.27,17,31,5.2,5.33,7
180212_Blk_MQBlk_2,Co-enzyme A,Acetoacetyl CoA,850.3228,408.178,5.16,52,0,5.12,5.22,17
