"Replicate.Name","Precursor.Ion.Name","Precursor.Mz","Product.Mz","Retention.Time","Area","Background","Height"
"180212_Poo_TruePoo_Full2","Acetoacetyl CoA",850.3228,408.178,5.23,18,2,13
"180212_Poo_TruePoo_Full3","Acetoacetyl CoA",850.3228,408.178,5.26,87,0,18
"180212_Poo_TruePoo_Half1","Acetoacetyl CoA",850.3228,408.178,5.28,58,0,16
"180212_Poo_TruePoo_Half2","Acetoacetyl CoA",850.3228,408.178,5.19,168,6,127
"180212_Poo_TruePoo_Half3","Acetoacetyl CoA",850.3228,408.178,5.19,6,3,5
"180212_Smp_L1C32DCMless10m_A","Acetoacetyl CoA",850.3228,408.178,5.2,62,1,12
"180212_Smp_L1C32DCMless10m_B","Acetoacetyl CoA",850.3228,408.178,5.13,757,0,326
"180212_Smp_L1C32DCMless10m_C","Acetoacetyl CoA",850.3228,408.178,5.3,10,32,7
"180212_Smp_L1C32DCMless20m_A","Acetoacetyl CoA",850.3228,408.178,5.23,130,17,41
"180212_Smp_L1C32DCMless20m_B","Acetoacetyl CoA",850.3228,408.178,5.21,17,0,6
"180212_Smp_L1C32DCMless20m_C","Acetoacetyl CoA",850.3228,408.178,5.17,7,4,6
"180212_Smp_L1C33DCM_A","Acetoacetyl CoA",850.3228,408.178,5.21,97,0,18
"180212_Smp_L1C33DCM_B","Acetoacetyl CoA",850.3228,408.178,5.13,13,0,6
"180212_Smp_L1C33DCM_C","Acetoacetyl CoA",850.3228,408.178,5.23,42,0,17
"180212_Smp_L1C33DCMplus10m_A","Acetoacetyl CoA",850.3228,408.178,5.23,16,0,9
"180212_Smp_L1C33DCMplus10m_B","Acetoacetyl CoA",850.3228,408.178,5.2,7,0,8
"180212_Smp_L1C33DCMplus10m_C","Acetoacetyl CoA",850.3228,408.178,5.11,22,16,9
"180212_Smp_L1C33DCMplus20m_A","Acetoacetyl CoA",850.3228,408.178,5.2,43,0,24
"180212_Smp_L1C33DCMplus20m_B","Acetoacetyl CoA",850.3228,408.178,5.21,31,6,11
"180212_Smp_L1C33DCMplus20m_C","Acetoacetyl CoA",850.3228,408.178,5.2,92,0,74
"180212_Smp_L2C1DCMless10m_A","Acetoacetyl CoA",850.3228,408.178,5.18,34,0,6
"180212_Smp_L2C1DCMless10m_B","Acetoacetyl CoA",850.3228,408.178,5.21,18,25,11
"180212_Smp_L2C1DCMless10m_C","Acetoacetyl CoA",850.3228,408.178,5.26,29,4,16
"180212_Smp_L2C1DCMless20m_A","Acetoacetyl CoA",850.3228,408.178,5.26,84,0,20
"180212_Smp_L2C1DCMless20m_B","Acetoacetyl CoA",850.3228,408.178,5.2,56,0,28
"180212_Smp_L2C1DCMless20m_C","Acetoacetyl CoA",850.3228,408.178,5.12,23,5,9
"180212_Smp_L2C2DCM_A","Acetoacetyl CoA",850.3228,408.178,5.24,60,13,16
"180212_Smp_L2C2DCM_B","Acetoacetyl CoA",850.3228,408.178,5.23,45,0,32
"180212_Smp_L2C2DCM_C","Acetoacetyl CoA",850.3228,408.178,5.24,10,0,8
"180212_Smp_L2C2DCMplus10m_A","Acetoacetyl CoA",850.3228,408.178,5.1,151,16,23
"180212_Smp_L2C2DCMplus10m_B","Acetoacetyl CoA",850.3228,408.178,5.2,8,16,4
"180212_Smp_L2C2DCMplus10m_C","Acetoacetyl CoA",850.3228,408.178,5.2,45,0,17
"180212_Smp_L2C2DCMplus20m_A","Acetoacetyl CoA",850.3228,408.178,5.22,36,3,16
"180212_Smp_L2C2DCMplus20m_B","Acetoacetyl CoA",850.3228,408.178,5.14,69,8,17
"180212_Smp_L2C2DCMplus20m_C","Acetoacetyl CoA",850.3228,408.178,5.14,60,0,16
"180212_Std_4uMhilicMix4_1","Acetyl CoA",808.149,461.1161,5.4,20544276,363001,11001184
"180212_Std_4uMhilicMix4_2","Acetyl CoA",808.149,461.1161,5.42,36252820,211697,19246748
"180212_Blk_MQBlk_1","Acetyl CoA",808.149,461.1161,5.46,2828,0,924
"180212_Blk_MQBlk_2","Acetyl CoA",808.149,461.1161,5.44,322,25,114
"180212_Blk_MQBlk_3","Acetyl CoA",808.149,461.1161,5.44,1256,0,799
"180212_Blk_SWBlk_1","Acetyl CoA",808.149,461.1161,5.41,1398,77,533
"180212_Blk_SWBlk_2","Acetyl CoA",808.149,461.1161,5.42,1237,40,571
"180212_Blk_SWBlk_3","Acetyl CoA",808.149,461.1161,5.47,1050,0,320
"180212_Poo_TruePoo_Full1","Acetyl CoA",808.149,461.1161,5.44,88068,1597,41875
"180212_Poo_TruePoo_Full2","Acetyl CoA",808.149,461.1161,5.43,90528,0,43216
"180212_Poo_TruePoo_Full3","Acetyl CoA",808.149,461.1161,5.44,69757,161,27118
"180212_Poo_TruePoo_Half1","Acetyl CoA",808.149,461.1161,5.43,39487,58,14762
"180212_Poo_TruePoo_Half2","Acetyl CoA",808.149,461.1161,5.43,40175,0,14675
"180212_Poo_TruePoo_Half3","Acetyl CoA",808.149,461.1161,5.44,42882,102,16903
"180212_Smp_L1C32DCMless10m_A","Acetyl CoA",808.149,461.1161,5.42,94432,33,38358
"180212_Smp_L1C32DCMless10m_B","Acetyl CoA",808.149,461.1161,5.43,87268,92,37535
"180212_Smp_L1C32DCMless10m_C","Acetyl CoA",808.149,461.1161,5.44,101221,919,45314
"180212_Smp_L1C32DCMless20m_A","Acetyl CoA",808.149,461.1161,5.42,105707,177,37749
"180212_Smp_L1C32DCMless20m_B","Acetyl CoA",808.149,461.1161,5.43,117250,110,45906
"180212_Smp_L1C32DCMless20m_C","Acetyl CoA",808.149,461.1161,5.43,139154,0,56896
"180212_Smp_L1C33DCM_A","Acetyl CoA",808.149,461.1161,5.42,103077,706,43750
"180212_Smp_L1C33DCM_B","Acetyl CoA",808.149,461.1161,5.43,121164,0,59808
"180212_Smp_L1C33DCM_C","Acetyl CoA",808.149,461.1161,5.43,88066,83,32984
"180212_Smp_L1C33DCMplus10m_A","Acetyl CoA",808.149,461.1161,5.43,68140,0,23540
"180212_Smp_L1C33DCMplus10m_B","Acetyl CoA",808.149,461.1161,5.43,95563,146,44513
"180212_Smp_L1C33DCMplus10m_C","Acetyl CoA",808.149,461.1161,5.43,113410,29,51809
"180212_Smp_L1C33DCMplus20m_A","Acetyl CoA",808.149,461.1161,5.43,54618,322,24323
"180212_Smp_L1C33DCMplus20m_B","Acetyl CoA",808.149,461.1161,5.43,51103,1087,22076
"180212_Smp_L1C33DCMplus20m_C","Acetyl CoA",808.149,461.1161,5.43,65769,37,23658
"180212_Smp_L2C1DCMless10m_A","Acetyl CoA",808.149,461.1161,5.43,60300,0,24487
"180212_Smp_L2C1DCMless10m_B","Acetyl CoA",808.149,461.1161,5.43,67963,51,27051
"180212_Smp_L2C1DCMless10m_C","Acetyl CoA",808.149,461.1161,5.43,71715,13,32457
"180212_Smp_L2C1DCMless20m_A","Acetyl CoA",808.149,461.1161,5.44,53189,7,20183
"180212_Smp_L2C1DCMless20m_B","Acetyl CoA",808.149,461.1161,5.43,83843,183,32910
"180212_Smp_L2C1DCMless20m_C","Acetyl CoA",808.149,461.1161,5.43,70311,0,29464
"180212_Smp_L2C2DCM_A","Acetyl CoA",808.149,461.1161,5.43,46402,88,17592
"180212_Smp_L2C2DCM_B","Acetyl CoA",808.149,461.1161,5.43,65591,67,31768
"180212_Smp_L2C2DCM_C","Acetyl CoA",808.149,461.1161,5.43,58784,47,26789
"180212_Smp_L2C2DCMplus10m_A","Acetyl CoA",808.149,461.1161,5.43,48375,0,16736
"180212_Smp_L2C2DCMplus10m_B","Acetyl CoA",808.149,461.1161,5.42,56684,240,22393
"180212_Smp_L2C2DCMplus10m_C","Acetyl CoA",808.149,461.1161,5.44,47947,89,22297
"180212_Smp_L2C2DCMplus20m_A","Acetyl CoA",808.149,461.1161,5.42,28411,50,10073
"180212_Smp_L2C2DCMplus20m_B","Acetyl CoA",808.149,461.1161,5.44,41640,270,18207
"180212_Smp_L2C2DCMplus20m_C","Acetyl CoA",808.149,461.1161,5.44,33262,0,13800
